,word string,0
57684,Modera Wealth Management,True
57777,Buffalo Wild Wings Inc,True
58204,NUFCOR SA,True
58233,Dollar Tree Inc,True
58499,VEBA Trust,True
58547,Amgen Inc,True
58570,Energy Minister Martins,True
58609,Van Wagner Communications LLC,True
59011,Star TV,True
59192,The Company J,True
59571,Chevron Corp,True
59732,EBay Inc,True
59768,The USB Promotor Group,True
59786,Lloyds Banking Group,True
59881,Burger King Worldwide Inc,True
59928,Garden City,True
59939,InterMune Inc,True
60096,Alibaba Group Holding Ltd,True
60427,Firebird Fund Management,True
60660,Graham Fisher,True
60707,China National Offshore Oil Corporation,True
60749,South Seas,True
60962,QEP Resources,True
61418,Penney Company,True
61797,Oculus VR,True
61824,Private Advisor Group,True
61887,Prospect Capital Corp,True
62225,China Minmetals Corp,True
62387,Allianz Group,True
62459,Pohjola Asset Management,True
62559,The Tokmakjian Group,True
62647,Virgin Group,True
62748,The Inc,True
62871,The Trustee,True
62914,The Board,True
63120,Professor Laurence Capron,True
63276,Current Population Survey,True
63592,The Company,True
63687,Taj Mahal,True
63732,Upper East Side,True
64201,Rival Kohl,True
64402,McCarthy Tetrault LLP,True
64439,Dennis O,True
64467,Boston Consulting Group,True
64552,One Equity Partners,True
